"Name","Conf","Campaign","ObtainType","PetSkin","PetSkin2","CostLegendaryTrophies","CostGems","TID","ShopTID","InfoTID","MaterialsFile","BlueTexture","RedTexture","BlueSpecular","RedSpecular"
"string","string","int","int","string","string","int","int","string","string","string","string","string","string","string","string"
"BanditGirlDefault","BanditGirlDefault",,,,,,,,,,,"shelly_v2_01.pvr","shelly_v2_01.pvr","shelly_v2_01.pvr","shelly_v2_01.pvr"
"GunSlingerDefault","GunSlingerDefault",,,,,,,,,,,"colt_tex.pvr","colt_tex.pvr","colt_tex.pvr","colt_tex.pvr"
"GunSlingerRockstar","GunSlingerRockstar",,,,,,30,"TID_GUNSLINGER_ROCKSTAR_SKIN","TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","TID_SKIN_INFO_NORMAL",,"colt_rockstar_tex.pvr","colt_rockstar_tex.pvr","colt_rockstar_tex.pvr","colt_rockstar_tex.pvr"
"BullGuyDefault","BullGuyDefault",,,,,,,,,,,"bull_tex_01.pvr","bull_tex_01.pvr","bull_tex_01.pvr","bull_tex_01.pvr"
"RocketGirlDefault","RocketGirlDefault",,,,,,,,,,,"brock_blue_tex.pvr","brock_tex.pvr","brock_blue_tex.pvr","brock_tex.pvr"
"RocketGirlBeach","RocketGirlBeach",,,,,,80,"TID_ROCKET_BEACH_SKIN","TID_ROCKET_BEACH_SKIN_SHOP","TID_SKIN_INFO_FX_SOUND",,"brock_beach_blue_tex.pvr","brock_beach_tex.pvr","brock_beach_blue_tex.pvr","brock_beach_tex.pvr"
"TntGuyDefault","TntGuyDefault",,,,,,,,,,,"dynamike_blue_tex.pvr","dynamike_tex.pvr","dynamike_blue_tex.pvr","dynamike_tex.pvr"
"LuchadorDefault","LuchadorDefault",,,,,,,,,,,"primo_tex.pvr","primo_tex.pvr","primo_tex.pvr","primo_tex.pvr"
"TurretDefault","TurretDefault",,,,,,,,,,,"dogturret.pvr","dogturret.pvr","dogturret.pvr","dogturret.pvr"
"TrickshotDefault","TrickshotDefault",,,,,,,,,,,"rico_tex.pvr","rico_tex.pvr","rico_tex.pvr","rico_tex.pvr"
"CactusDefault","CactusDefault",,,,,,,,,,,"spike_tex.pvr","spike_tex.pvr","spike_tex.pvr","spike_tex.pvr"
"CactusPink","CactusPink",,,,,,80,"TID_CACTUS_PINK_SKIN","TID_CACTUS_PINK_SKIN_SHOP","TID_SKIN_INFO_FX",,"spike_blossom_tex.pvr","spike_blossom_tex.pvr","spike_blossom_tex.pvr","spike_blossom_tex.pvr"
"BarkeepDefault","BarkeepDefault",,,,,,,,,,,"barley_tex.pvr","barley_tex.pvr","barley_tex.pvr","barley_tex.pvr"
"MechanicDefault","MechanicDefault",,,"TurretDefault",,,,,,,,"jessie_tex.pvr","jessie_tex.pvr","jessie_tex.pvr","jessie_tex.pvr"
"ShamanDefault","ShamanDefault",,,"ShamanBearDefault",,,,,,,,"nita_tex.pvr","nita_tex.pvr","nita_tex.pvr","nita_tex.pvr"
"ShamanPanda","ShamanPanda",,,"ShamanBearPanda",,,30,"TID_SHAMAN_PANDA_SKIN","TID_SHAMAN_PANDA_SKIN_SHOP","TID_SKIN_INFO_NORMAL_PET",,"nita_panda_tex.pvr","nita_panda_tex.pvr","nita_panda_tex.pvr","nita_panda_tex.pvr"
"ShamanBearDefault","ShamanBearDefault",,,,,,,,,,,"nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr"
"ShamanBearPanda","ShamanBearPanda",,,,,,,,,,,"nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr"
"UndertakerDefault","UndertakerDefault",,,,,,,,,,,"mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr"
"CrowDefault","CrowDefault",,,,,,,,,,,"crow_d_01.pvr","crow_d_01.pvr","crow_d_01.pvr","crow_d_01.pvr"
